PrimayAccess,GID
11392.921330436242,510104
12688.287732078308,510105
11779.741607422193,510106
12661.175697287776,510107
11590.308949829154,510108
2357.072518224256,510112
12634.920342896387,510113
5728.63553985066,510114
10998.70972191207,510115
2456.9607104097418,510116
6678.343802454482,510117
4498.591659622985,510118
196.5420128389102,510121
9.532705814771738,510129
5839.209742181638,510131
8008.40123692861,510181
26.978540481358767,510182
5675.8321773438975,510183
4793.64183921477,510184
7080.913553788903,510185
