NNHI,frequency,percentage,accumulated percentage
1,1694837,18.83156616,18.83156616
2,896449,9.960567686,28.79213385
3,620172,6.890816079,35.68294993
4,445904,4.954500449,40.63745038
5,326786,3.630964028,44.2684144
6,288185,3.202063027,47.47047743
7,247829,2.753661981,50.22413941
8,210998,2.344427693,52.5685671
9,170289,1.892104415,54.46067152
10,155690,1.729892925,56.19056444
11,153566,1.70629287,57.89685731
12,143311,1.59234816,59.48920547
13,130684,1.452047833,60.94125331
14,127445,1.41605886,62.35731217
15,120052,1.333914224,63.69122639
16,113047,1.256080709,64.9473071
17,112578,1.250869585,66.19817668
18,103583,1.150924908,67.34910159
19,97877,1.08752476,68.43662635
20,96555,1.072835837,69.50946219
21,91399,1.015546814,70.525009
22,86752,0.96391336,71.48892236
23,81830,0.909224344,72.39814671
24,81039,0.900435434,73.29858214
25,77888,0.865424242,74.16400638
26,80549,0.894990977,75.05899736
27,77954,0.866157577,75.92515494
28,78650,0.873890928,76.79904586
29,73257,0.813968566,77.61301443
30,72514,0.805712991,78.41872742
31,70657,0.78507961,79.20380703
32,68744,0.763824004,79.96763104
33,68306,0.758957326,80.72658836
34,66125,0.734723937,81.4613123
35,65060,0.722890576,82.18420287
36,62295,0.692168282,82.87637116
37,60058,0.667312668,83.54368382
38,55709,0.618990333,84.16267416
39,52800,0.586668036,84.74934219
40,52719,0.585768033,85.33511023
41,53011,0.589012485,85.92412271
42,52448,0.582756915,86.50687963
43,51147,0.568301326,87.07518095
44,49133,0.545923496,87.62110445
45,49357,0.548412391,88.16951684
46,47672,0.529690125,88.69920696
47,44613,0.495701157,89.19490812
48,46436,0.515956759,89.71086488
49,41688,0.463201081,90.17406596
50,42558,0.47286777,90.64693373
51,37623,0.418034309,91.06496804
52,37343,0.41492319,91.47989123
53,33259,0.369545307,91.84943654
54,32651,0.362789735,92.21222627
55,32219,0.357989724,92.570216
56,31696,0.3521786,92.9223946
57,30019,0.333545223,93.25593982
58,30533,0.339256347,93.59519617
59,31094,0.345489695,93.94068586
60,29053,0.322811864,94.26349773
61,26280,0.292000681,94.55549841
62,25664,0.285156221,94.84065463
63,24928,0.276978424,95.11763305
64,25698,0.285534,95.40316705
65,21455,0.238389445,95.6415565
66,20131,0.2236783,95.8652348
67,19709,0.2189894,96.0842242
68,18730,0.208111597,96.29233579
69,19369,0.215211613,96.50754741
70,18504,0.20560048,96.71314789
71,17135,0.190389333,96.90353722
72,15414,0.171267066,97.07480429
73,14277,0.158633703,97.23343799
74,13677,0.151967021,97.38540501
75,14127,0.156967033,97.54237204
76,12806,0.142289221,97.68466126
77,12919,0.143544779,97.82820604
78,12259,0.136211429,97.96441747
79,10836,0.120400281,98.08481775
80,11595,0.128833634,98.21365139
81,12218,0.135755872,98.34940726
82,10909,0.121211394,98.47061865
83,10968,0.121866951,98.5924856
84,8463,0.094033553,98.68651916
85,8234,0.091489102,98.77800826
86,8413,0.093477996,98.87148626
87,8932,0.099244676,98.97073093
88,8158,0.090644656,99.06137559
89,7018,0.07797796,99.13935355
90,6569,0.072989059,99.21234261
91,5500,0.061111254,99.27345386
92,6199,0.068877938,99.3423318
93,6370,0.070777943,99.41310974
94,6328,0.070311275,99.48342102
95,5223,0.058033469,99.54145449
96,4480,0.049777894,99.59123238
97,5976,0.066400155,99.65763253
98,4232,0.047022332,99.70465487
99,3077,0.034188969,99.73884384
100,6037,0.067077934,99.80592177
101,3331,0.037011197,99.84293297
102,2331,0.02590006,99.86883303
103,2039,0.022655608,99.89148864
104,1242,0.013800032,99.90528867
105,1202,0.013355587,99.91864425
106,1452,0.016133371,99.93477763
107,1593,0.017700041,99.95247767
108,1417,0.015744481,99.96822215
109,2860,0.031777852,100
