NNHI_,Total,tertiary
1,1661509,546437
2,904527,371845
3,633674,307592
4,450466,224641
5,330031,183008
6,289279,176652
7,249188,155439
8,212221,130652
9,172356,108568
10,157786,101473
11,154570,101115
12,144798,95607
13,131854,85978
14,128636,84818
15,121018,84852
16,114832,80429
17,113938,78692
18,104363,72731
19,98911,67135
20,97460,62279
21,92549,63406
22,87315,62016
23,82388,57243
24,81962,56503
25,79159,52519
26,82074,58329
27,79364,55242
28,80683,58422
29,74306,53453
30,73393,52849
31,71387,50129
32,69294,48789
33,68943,45940
34,67013,46222
35,66128,45801
36,62991,44968
37,60774,39927
38,56318,38794
39,53599,33375
40,53234,33936
41,53710,33488
42,53184,35781
43,51837,34853
44,49516,32904
45,50080,33595
46,48241,32500
47,45160,30222
48,46820,33139
49,42050,28507
50,43028,27829
51,37998,25042
52,37571,24796
53,33505,21620
54,33204,21791
55,32440,22243
56,32012,21548
57,30335,20172
58,30869,20322
59,31358,20903
60,29293,18481
61,26659,15932
62,26052,16695
63,25391,15459
64,26799,15325
65,21985,13566
66,20354,11973
67,19872,12241
68,18851,11784
69,19469,12801
70,18579,11541
71,17204,9725
72,15494,8242
73,14318,8096
74,13737,7590
75,14183,7951
76,12885,6819
77,12999,6686
78,12308,6366
79,10882,4980
80,11640,5778
81,12310,6175
82,10983,5273
83,11004,5041
84,8482,3709
85,8252,3538
86,8442,4036
87,8963,4775
88,8175,4188
89,7056,2618
90,6599,2792
91,5523,2084
92,6222,2174
93,6430,2322
94,6363,1824
95,5259,1411
96,4509,1222
97,5998,1368
98,4232,1312
99,3077,1168
100,6037,1236
101,3331,759
102,2331,446
103,2039,284
104,1242,251
105,1202,135
106,1452,9
107,1593,0
108,1417,0
109,2860,0
