distance_group,HousePrice,Weight
0.5,15858.702644947383,28006
1.0,16529.52344452484,67842
1.5,16528.493183702263,104591
2.0,17516.36555227425,105869
2.5,18252.83056361813,106329
3.0,18959.721832996664,95049
3.5,20551.002760210402,70931
4.0,20776.934634906036,59285
4.5,20000.447867130148,51780
5.0,18941.05641884341,37245
5.5,18098.08163289251,32460
6.0,17776.94421543104,30394
6.5,17790.41962300518,28885
7.0,17979.315126962658,25967
7.5,17819.559494678102,18686
8.0,16043.80048501107,14545
8.5,16073.46967380372,13392
9.0,15270.598051321127,8345
9.5,15259.25451122501,8193
10.0,14882.01927308584,7380
10.5,13904.216371203409,5545
11.0,13496.944597869879,6092
11.5,12681.47154639195,4894
12.0,13087.971464044313,4035
12.5,13386.694546225637,4825
13.0,12473.732966795147,5069
13.5,12804.266055567763,4501
14.0,12765.337921150589,3487
14.5,12782.054922156296,2986
15.0,13718.132054609483,2847
15.5,13073.793652129227,2265
16.0,12494.164033544894,2664
16.5,12704.665023127998,2543
17.0,12036.346893843745,1767
17.5,11722.574333424773,1320
18.0,11481.361034441323,1360
18.5,11505.675339061441,1123
19.0,11851.027156550052,939
19.5,11308.093707698396,935
20.0,11281.549452992214,1169
20.5,10954.93308031967,1825
21.0,11020.484083238052,2189
21.5,10884.697688956949,1684
22.0,11006.495797749705,1356
22.5,10689.09843335415,1579
23.0,11233.568837892211,950
23.5,11673.41661113342,1143
24.0,11071.472288368177,949
24.5,10800.381818871036,801
25.0,10565.853449507083,720
25.5,12915.18719583301,724
26.0,12065.769486607893,722
26.5,11254.339772258567,642
27.0,11158.474731746135,802
27.5,11420.244610514703,823
28.0,11348.59016307832,678
28.5,10836.961333178411,667
29.0,10685.052823724713,611
29.5,10993.162858875583,729
30.0,12337.620218655788,717
30.5,11934.974975858575,449
31.0,11737.963033102538,512
31.5,13227.955493313048,958
32.0,13275.401976214933,1326
32.5,12227.926490773645,683
33.0,10895.779237803226,248
33.5,10631.699274094359,195
34.0,11155.16070632124,113
34.5,12850.634088681423,323
35.0,11955.374224553425,438
35.5,10756.59261152143,280
36.0,10781.3148876747,249
36.5,11616.578065525597,293
37.0,10179.672185534695,98
37.5,11531.947345866434,143
38.0,11887.892953723076,156
38.5,11413.480201420112,179
39.0,12680.766332663825,434
39.5,13236.786761251742,402
40.0,11298.544132994815,135
40.5,11897.79901304326,141
41.0,10794.1992098,251
41.5,10972.032992110118,168
42.0,10535.716671757813,64
42.5,10997.651660710406,173
43.0,12129.917942672093,86
43.5,11615.004714067647,136
44.0,12610.188293457739,168
44.5,11606.72051489672,61
45.0,12168.931770181189,101
45.5,10711.409179686842,38
46.0,10840.533878765116,43
46.5,10273.594798051328,113
47.0,10332.913997692727,55
47.5,10251.295141591667,24
48.0,10232.950790703226,31
48.5,10073.428283153262,92
49.0,9208.579043489188,37
49.5,9125.9604505,19
50.0,10241.040383726471,34
50.5,12924.584261074999,12
51.0,10118.295718542106,19
51.5,9562.69868165,10
52.0,12564.027750649999,6
52.5,11287.292327884212,19
53.0,13454.389071372727,11
53.5,10925.48818359,10
54.0,10492.46051432,15
54.5,13310.456542933332,3
55.5,11238.64013675,4
56.0,10295.3223877,8
57.0,10365.2929688,1
57.5,10371.9736328,1
58.0,10190.3011068,3
59.0,14137.1552734,2
60.5,11327.629850266667,15
61.5,11070.3482422,5
64.0,3873.7335205,1
67.5,10333.3994141,1
71.5,14252.0253906,1
