NNHI,HousePrice,Weight
1,45740.9897477715,364710
2,46621.99823900874,192108
3,51148.5458456442,117479
4,52955.69346059664,87525
5,58113.33126860553,55181
6,60460.86277804254,52583
7,61532.68105872518,43870
8,61743.9702786581,40607
9,60907.61348582523,28172
10,57849.29048018573,29093
11,57610.49413821224,29703
12,56014.9446433911,27008
13,57552.1266754207,27330
14,59632.99578612602,24015
15,59518.61975327311,22485
16,60713.0157131225,20291
17,58701.03047609924,19852
18,58710.55461316327,18702
19,56788.76457882134,18765
20,54766.48714771613,19174
21,56555.23717399069,17314
22,56204.43976425504,18046
23,53264.51626621452,18013
24,53999.64849383088,19122
25,54627.80456710835,16567
26,53873.012569934275,16849
27,52083.28630347281,17846
28,53738.233274015074,15809
29,53364.84011554872,15993
30,54660.14513946296,15467
31,52356.17677410063,15307
32,51520.103922467286,15139
33,51080.08176937675,15332
34,50727.00979971101,15534
35,50172.586328488185,15079
36,50659.53532106575,13180
37,50197.34819340326,14573
38,51202.8658483874,13308
39,49713.48316603868,13390
40,48811.95834485207,12378
41,50907.280273647375,11640
42,49479.65815354117,11758
43,50832.747845707345,11374
44,51037.31998941361,11099
45,48299.69058001699,11671
46,48454.123975720795,11027
47,49322.93337024226,9892
48,45621.22131202156,11595
49,46802.32408140024,10857
50,45697.52635298603,10239
51,47866.397688179626,8466
52,46667.2342302269,7532
53,46953.73462464543,6760
54,47437.45192227076,7052
55,47969.252239434085,7405
56,44714.69063986314,7727
57,48419.491804523735,6716
58,49281.78179003993,6181
59,46278.08731700344,6177
60,47011.745997963946,5117
61,46388.38365390002,4981
62,42401.45731565578,5086
63,46654.02818703156,4512
64,49150.03352700627,3892
65,52022.23871787752,3715
66,48924.15301176866,3731
67,47841.080469338114,4326
68,48303.72344177306,3337
69,50516.597055822705,2898
70,50307.58789166198,3206
71,48489.38102027499,3326
72,49115.74375714532,3061
73,51359.540408454435,2594
74,52895.52942443961,2808
75,49233.33091137209,2712
76,49985.08605901934,2435
77,49749.28028540142,2530
78,49990.47538276519,2410
79,50374.0898938309,2301
80,51035.8336954208,2457
81,52767.13330394199,2317
82,51084.58189119712,2050
83,48391.39075419596,2254
84,48782.80841653867,2061
85,46722.97837107056,2201
86,47707.0901991657,2058
87,48191.8312526263,2156
88,46238.53890403666,1863
89,48333.896204343335,2340
90,50245.91608268306,1966
91,49362.105643439776,1629
92,54223.55135120263,1674
93,54387.59395866061,2239
94,51630.150266471246,2097
95,48140.56788061073,1221
96,43763.87792106447,1019
97,55951.85092934497,2275
98,52895.78781395483,912
99,44953.27052512553,282
100,50209.44170843109,2226
