bypass,Total,sanjia
0,48883,13938
1,0,0
2,40,40
3,189,98
4,213,72
5,242,104
6,539,198
7,702,222
8,1507,678
9,1492,807
10,1685,756
11,2098,1080
12,3756,1663
13,2056,1121
14,4489,1699
15,2803,1570
16,2702,1800
17,7344,3289
18,4845,2760
19,6732,4321
20,10465,4077
21,6831,3783
22,9261,5193
23,8065,3193
24,7376,4184
25,20233,7994
26,9120,3963
27,10947,5126
28,9196,4343
29,19041,8240
30,14702,5254
31,15365,5342
32,13100,5408
33,35722,14465
34,15163,5967
35,19958,8056
36,19671,8061
37,17736,7461
38,32944,12412
39,26019,10031
40,34071,12938
41,27988,12641
42,32958,13235
43,34440,13503
44,40356,15917
45,36258,15478
46,37703,16227
47,40421,18663
48,44371,18648
49,41104,19195
50,102921,43594
51,47791,20193
52,54889,22991
53,58233,24369
54,58006,25315
55,67601,30205
56,72667,32103
57,79543,36558
58,72479,33830
59,74646,34317
60,95125,43025
61,79973,39040
62,103207,50129
63,85790,42356
64,86207,44096
65,90571,46295
66,86175,46271
67,119774,60187
68,85949,43165
69,86530,45230
70,90852,48969
71,105729,56213
72,88864,49094
73,93197,49834
74,85001,47371
75,115089,62644
76,91473,49775
77,92790,50080
78,97647,51706
79,96675,54509
80,106293,58090
81,95830,52784
82,103640,59112
83,111675,63175
84,99315,55650
85,99075,56784
86,123212,68609
87,106947,62591
88,128561,72658
89,126450,73312
90,127331,73547
91,127764,75868
92,159376,94863
93,159200,94718
94,177628,106060
95,196882,117676
96,247518,144001
97,292872,171073
98,393920,223192
99,558009,325324
100,2157752,1269477
