distance_,Total,shengyu
0.5,1867431,163035
1,301951,47745
1.5,292541,54176
2,319936,59177
2.5,317029,61097
3,287052,61499
3.5,289837,59781
4,257704,57778
4.5,230023,55417
5,221330,53450
5.5,199708,55154
6,189830,50383
6.5,186088,52505
7,180748,54811
7.5,161632,44321
8,143784,43195
8.5,142244,40298
9,131913,39543
9.5,124589,31775
10,116307,33304
10.5,109448,31283
11,105365,29736
11.5,102030,32553
12,105045,33899
12.5,103771,27551
13,93380,25572
13.5,90685,24888
14,88856,24008
14.5,83837,24409
15,81540,25065
15.5,76216,23251
16,72055,21804
16.5,68810,18484
17,65426,17066
17.5,60291,17568
18,61904,20060
18.5,58983,17664
19,57224,16472
19.5,55484,16158
20,51796,12406
20.5,48699,13585
21,44879,12634
21.5,44417,12140
22,42815,11882
22.5,39931,11295
23,35449,9457
23.5,39192,10960
24,34662,7780
24.5,32407,7613
25,33063,8412
25.5,32001,9297
26,30455,6654
26.5,29803,6939
27,29245,6854
27.5,27676,7097
28,26734,6779
28.5,25278,7310
29,25115,7100
29.5,25469,8407
30,23906,5499
30.5,20646,5027
31,20310,5145
31.5,20768,5287
32,21334,5628
32.5,20496,5292
33,20562,6319
33.5,19304,5472
34,20737,5729
34.5,16641,4580
35,16896,4554
35.5,14491,3819
36,15623,4609
36.5,13534,3750
37,12964,3913
37.5,12249,3200
38,12565,2908
38.5,11828,3468
39,11398,3681
39.5,10427,2552
40,9502,2923
40.5,9785,2684
41,8534,2001
41.5,8646,2235
42,7892,1531
42.5,7008,1612
43,6607,1528
43.5,6099,1174
44,6420,1488
44.5,5399,993
45,5591,947
45.5,5482,1109
46,6215,2201
46.5,5547,1585
47,4846,1023
47.5,4842,883
48,4533,1287
48.5,4911,1007
49,4342,1261
49.5,4573,1177
50,4335,984
50.5,4005,1048
51,4710,1673
51.5,3744,1112
52,3875,996
52.5,3680,852
53,3971,1095
53.5,3431,1064
54,3194,873
54.5,2768,795
55,3026,1037
55.5,3203,1001
56,2675,682
56.5,3000,756
57,2874,491
57.5,2904,637
58,2902,701
58.5,2743,729
59,2491,632
59.5,2538,740
60,2672,539
60.5,2849,541
61,2800,432
61.5,2691,532
62,2370,563
62.5,2436,698
63,2178,456
63.5,2568,657
64,2444,642
64.5,2116,608
65,2034,459
65.5,1752,472
66,1781,565
66.5,1837,509
67,1803,581
67.5,2058,868
68,1438,477
68.5,1391,430
69,1845,855
69.5,1122,298
70,971,166
70.5,1013,203
71,1077,186
71.5,909,153
72,785,165
72.5,693,129
73,738,177
73.5,845,160
74,710,85
74.5,660,137
75,671,185
75.5,571,134
76,555,206
76.5,921,540
77,885,497
77.5,440,122
78,374,31
78.5,387,50
79,372,35
79.5,374,49
80,346,27
80.5,342,30
81,284,27
81.5,309,28
82,250,10
82.5,258,15
83,251,8
83.5,207,4
84,224,13
84.5,175,13
85,205,11
85.5,122,11
86,106,29
86.5,128,6
87,112,9
87.5,110,15
88,136,17
88.5,87,24
89,103,17
89.5,97,7
90,156,31
90.5,94,16
91,77,9
91.5,34,0
92,56,0
92.5,38,0
93,88,0
93.5,29,0
94,29,0
94.5,36,0
95,18,0
95.5,24,0
96,41,0
96.5,54,0
97,22,0
97.5,37,0
98,40,1
98.5,32,0
99,25,0
99.5,9,0
100,17,0
100.5,6,0
101,12,0
101.5,9,2
102,24,0
102.5,18,2
103,7,2
103.5,7,1
104,6,0
104.5,4,1
105,11,1
105.5,6,0
106,11,0
106.5,9,0
107,8,0
107.5,9,0
108,10,0
108.5,45,0
109,10,0
109.5,6,0
110,3,0
110.5,3,0
111,12,0
111.5,2,0
112,7,0
112.5,10,0
113,15,0
113.5,6,0
114,14,0
114.5,12,0
115,6,0
115.5,13,0
116,14,0
116.5,12,0
117,7,0
117.5,10,0
118,2,0
118.5,6,0
119,13,0
119.5,2,0
120,3,0
120.5,2,0
121,3,0
121.5,3,0
122,1,0
122.5,0,0
123,1,0
123.5,4,0
124,13,0
124.5,0,0
125,0,0
125.5,0,0
126,0,0
126.5,0,0
127,1,0
127.5,0,0
128,1,0
128.5,1,0
129,0,0
129.5,0,0
130,0,0
130.5,0,0
131,0,0
131.5,0,0
132,0,0
132.5,0,0
133,0,0
133.5,0,0
134,0,0
134.5,0,0
135,0,0
135.5,0,0
136,0,0
136.5,0,0
137,0,0
137.5,0,0
138,0,0
138.5,0,0
139,0,0
139.5,0,0
140,0,0
140.5,0,0
141,0,0
141.5,0,0
142,0,0
142.5,0,0
143,0,0
143.5,0,0
144,0,0
144.5,0,0
145,0,0
145.5,0,0
146,0,0
146.5,0,0
147,0,0
147.5,0,0
148,0,0
148.5,0,0
149,0,0
149.5,0,0
150,0,0
150.5,0,0
151,0,0
151.5,0,0
152,0,0
152.5,0,0
153,0,0
153.5,0,0
154,0,0
154.5,0,0
155,0,0
155.5,0,0
156,0,0
156.5,0,0
157,0,0
157.5,0,0
158,0,0
158.5,0,0
159,0,0
159.5,0,0
160,0,0
160.5,0,0
161,0,0
161.5,0,0
162,0,0
162.5,0,0
163,0,0
163.5,0,0
164,0,0
164.5,0,0
165,0,0
165.5,0,0
166,0,0
166.5,0,0
167,0,0
167.5,0,0
168,0,0
168.5,0,0
169,0,0
169.5,0,0
170,0,0
170.5,0,0
171,0,0
171.5,0,0
172,0,0
172.5,0,0
173,0,0
173.5,0,0
174,0,0
174.5,0,0
175,0,0
175.5,0,0
176,0,0
176.5,0,0
177,0,0
177.5,0,0
178,0,0
178.5,0,0
179,0,0
179.5,0,0
180,0,0
180.5,0,0
181,0,0
181.5,0,0
182,0,0
182.5,0,0
183,0,0
183.5,0,0
184,0,0
184.5,0,0
185,0,0
185.5,0,0
186,0,0
186.5,0,0
187,0,0
187.5,0,0
188,0,0
188.5,0,0
189,0,0
189.5,0,0
190,0,0
190.5,0,0
191,0,0
191.5,0,0
192,0,0
192.5,0,0
193,0,0
193.5,0,0
194,0,0
194.5,0,0
195,0,0
195.5,0,0
196,0,0
196.5,0,0
197,0,0
197.5,0,0
198,0,0
198.5,0,0
199,0,0
199.5,0,0
200,0,0
200.5,0,0
201,0,0
201.5,0,0
202,0,0
202.5,0,0
203,0,0
203.5,0,0
204,0,0
204.5,0,0
205,0,0
205.5,0,0
206,0,0
206.5,0,0
207,0,0
207.5,0,0
208,0,0
208.5,0,0
209,0,0
209.5,0,0
210,0,0
210.5,0,0
211,0,0
211.5,0,0
212,0,0
212.5,0,0
213,0,0
213.5,0,0
214,0,0
214.5,0,0
215,0,0
215.5,0,0
216,0,0
216.5,0,0
217,0,0
217.5,0,0
218,0,0
218.5,0,0
219,0,0
219.5,0,0
220,0,0
220.5,0,0
221,0,0
221.5,0,0
222,0,0
222.5,0,0
223,0,0
223.5,0,0
224,0,0
224.5,0,0
225,0,0
225.5,0,0
226,0,0
226.5,0,0
227,0,0
227.5,0,0
228,0,0
228.5,0,0
229,0,0
229.5,0,0
230,0,0
230.5,0,0
231,0,0
231.5,0,0
232,0,0
232.5,0,0
233,0,0
233.5,0,0
234,0,0
234.5,0,0
235,0,0
235.5,0,0
236,0,0
236.5,0,0
237,0,0
237.5,0,0
238,0,0
238.5,0,0
239,0,0
239.5,0,0
240,0,0
240.5,0,0
241,0,0
241.5,0,0
242,0,0
242.5,0,0
243,0,0
243.5,0,0
244,0,0
244.5,0,0
245,0,0
245.5,0,0
246,0,0
246.5,0,0
247,0,0
247.5,0,0
248,0,0
248.5,0,0
249,0,0
249.5,0,0
250,0,0
250.5,0,0
251,0,0
251.5,0,0
252,0,0
252.5,0,0
253,0,0
253.5,0,0
254,0,0
254.5,0,0
255,0,0
255.5,0,0
256,0,0
256.5,0,0
257,0,0
257.5,0,0
258,0,0
258.5,0,0
259,0,0
259.5,0,0
260,0,0
260.5,0,0
261,0,0
261.5,0,0
262,0,0
262.5,0,0
263,0,0
263.5,0,0
264,0,0
264.5,0,0
265,0,0
265.5,0,0
266,0,0
266.5,0,0
267,0,0
267.5,0,0
268,0,0
268.5,0,0
269,0,0
269.5,0,0
270,0,0
270.5,0,0
271,0,0
271.5,0,0
272,0,0
272.5,0,0
273,0,0
273.5,0,0
274,0,0
274.5,0,0
275,0,0
275.5,0,0
276,0,0
276.5,0,0
277,0,0
277.5,0,0
278,0,0
278.5,0,0
279,0,0
279.5,0,0
280,0,0
280.5,0,0
281,0,0
281.5,0,0
282,0,0
282.5,0,0
283,0,0
283.5,0,0
284,0,0
284.5,0,0
285,0,0
285.5,0,0
286,0,0
286.5,0,0
287,0,0
287.5,0,0
288,0,0
288.5,0,0
289,0,0
289.5,0,0
290,0,0
290.5,0,0
291,0,0
291.5,0,0
292,0,0
292.5,0,0
293,0,0
293.5,0,0
294,0,0
294.5,0,0
295,0,0
295.5,0,0
296,0,0
296.5,0,0
297,0,0
297.5,0,0
298,0,0
298.5,0,0
299,0,0
299.5,0,0
300,0,0
300.5,0,0
301,0,0
301.5,0,0
302,0,0
302.5,0,0
303,0,0
303.5,0,0
304,0,0
304.5,0,0
305,0,0
305.5,0,0
306,0,0
306.5,0,0
307,0,0
307.5,0,0
308,0,0
308.5,0,0
309,0,0
309.5,0,0
310,0,0
310.5,0,0
311,0,0
311.5,0,0
312,0,0
312.5,0,0
313,0,0
313.5,0,0
314,0,0
314.5,0,0
315,0,0
315.5,0,0
316,0,0
316.5,0,0
